,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb
34,https://www.mrosupply.com/bearings/5075832_ll483449-90021_timken/,200,TIMKEN LL483449-90021 TRB Single Assembly 24-36 OD,MODEL LL483449-90021,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
35,https://www.mrosupply.com/bearings/5075833_ll483449-90024_timken/,200,TIMKEN LL483449-90024 Two TRB Single Assembly 24-36 OD,MODEL LL483449-90024,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
36,https://www.mrosupply.com/bearings/5075834_ll483449-904a3_timken/,200,TIMKEN LL483449-904A3 Two TRB Single Assembly 24-36 OD,MODEL LL483449-904A3,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
37,https://www.mrosupply.com/bearings/5075594_ll575343-902a3_timken/,200,TIMKEN LL575343-902A3 Two TRB Single Assembly 24-36 OD,MODEL LL575343-902A3,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
38,https://www.mrosupply.com/bearings/5069193_ll579749-90013_timken/,200,TIMKEN LL579749-90013 TRB Double Row Assembly 24-36 OD,MODEL LL579749-90013,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
39,https://www.mrosupply.com/bearings/5069195_ll579749-90017_timken/,200,TIMKEN LL579749-90017 TRB Double Row Assembly 24-36 OD,MODEL LL579749-90017,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
40,https://www.mrosupply.com/bearings/5069196_ll579749-902a1_timken/,200,TIMKEN LL579749-902A1 TRB Double Row Assembly 24-36 OD,MODEL LL579749-902A1,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
41,https://www.mrosupply.com/bearings/5075669_ll584449-903a1_timken/,200,TIMKEN LL584449-903A1 TRB Single Assembly 24-36 OD,MODEL LL584449-903A1,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
42,https://www.mrosupply.com/bearings/5073537_ll686947-90014_timken/,200,TIMKEN LL686947-90014 TRB Double Row Assembly 36-48 OD,MODEL LL686947-90014,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
43,https://www.mrosupply.com/bearings/5074775_ll687949-90015_timken/,200,TIMKEN LL687949-90015 TRB Single Assembly 36-48 OD,MODEL LL687949-90015,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
44,https://www.mrosupply.com/bearings/5074869_ll687949-90018_timken/,200,TIMKEN LL687949-90018 TRB Double Row Assembly 36-48 OD,MODEL LL687949-90018,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
45,https://www.mrosupply.com/bearings/5074870_ll687949-90024_timken/,200,TIMKEN LL687949-90024 TRB Single Assembly 36-48 OD,MODEL LL687949-90024,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
